Cluster ID,confidence_score,index,subject,predicate,object,sentence_id,sentence
4,0.7892136513025316,14,50 千米 /400 千,最大速度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8467025431153408,15,3.27 米,宽度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8467025431153408,16,3.27 米,宽度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8489386865931486,17,9 米,长度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8489386865931486,18,9 米,长度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8489386865931486,19,6.2 米,长度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8489386865931486,20,6.2 米,长度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8467025431153408,21,2.4 米,高度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.8467025431153408,22,2.4 米,高度,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.7892136513025316,23,36000 千克,重量,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
4,0.7892136513025316,24,36000 千克,重量,T-54型主战坦克,4,T-54型主战坦克：型号                T-54                                   战斗全重            36000 千克                        车长(炮向前)                  9 米                         车体长              6.2 米                                 车宽                3.27 米                                车高至(炮塔)                  2.4 米                               公路最大时速/行程    50 千米 /400 千米   　越野平均时速/行程    20-25 千米 /280 千米                     爬坡                30度                                   涉水                1.4-5 米           
5,0.7791916751926983,25,VFM5,型号,轻型坦克样车,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
6,0.8179736575322939,26,英国,产国,食品机械化学公司,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
6,0.8497881506973344,27,英国,研发单位与厂商,食品机械化学公司,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
5,0.7979385636909558,28,英国,研发单位与厂商,轻型坦克样车,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
6,0.8045867798152773,29,美国,研发单位与厂商,食品机械化学公司,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
5,0.7979385636909558,30,美国,研发单位与厂商,轻型坦克样车,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
6,0.8045867798152773,31,维克斯公司,研发单位与厂商,食品机械化学公司,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
5,0.7979385636909558,32,维克斯公司,研发单位与厂商,轻型坦克样车,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
5,0.7791916751926983,33,1986年,研发时间,轻型坦克样车,6,为了满足美国陆军和有些国家提出装备轻型坦克的要求，英国维克斯公司和美国食品机械化学公司于1986年联合研制VFM5轻型坦克样车。该车将主战坦克的火力和防护力同轻型坦克的机动性结合于一体，主要用于各国组建的快速反应部队。该坦克价格为100～150万美元。
7,0.7791916751926983,34,42～80吨,重量,重型坦克火炮,9,20世纪60年代以前，坦克多按战斗全重和火炮口径分为轻、中、重型。通常重型坦克重42～80吨，火炮口径最大为130毫米，主要用于支援中型坦克战斗。其特点是火炮口径大，炮管长，攻击力大。因为坦克火炮口径大，意味着攻击力大。重型坦克火炮口径有88毫米、90毫米、100毫米、105毫米、120毫米、122毫米、128毫米、130毫米、150毫米甚至152毫米。同时，重型坦克车体装甲厚，抵御炮击的能力强，但是体重大导致机动性较慢。重型坦克外形庞大重量惊人，是战场上扭转战局的关键。重型装甲和强力火炮，使每一辆重型坦克都是一股不容忽视的力量。
7,0.8045867798152773,35,130毫米,口径,重型坦克火炮,9,20世纪60年代以前，坦克多按战斗全重和火炮口径分为轻、中、重型。通常重型坦克重42～80吨，火炮口径最大为130毫米，主要用于支援中型坦克战斗。其特点是火炮口径大，炮管长，攻击力大。因为坦克火炮口径大，意味着攻击力大。重型坦克火炮口径有88毫米、90毫米、100毫米、105毫米、120毫米、122毫米、128毫米、130毫米、150毫米甚至152毫米。同时，重型坦克车体装甲厚，抵御炮击的能力强，但是体重大导致机动性较慢。重型坦克外形庞大重量惊人，是战场上扭转战局的关键。重型装甲和强力火炮，使每一辆重型坦克都是一股不容忽视的力量。
7,0.8045867798152773,36,90毫,口径,重型坦克火炮,9,20世纪60年代以前，坦克多按战斗全重和火炮口径分为轻、中、重型。通常重型坦克重42～80吨，火炮口径最大为130毫米，主要用于支援中型坦克战斗。其特点是火炮口径大，炮管长，攻击力大。因为坦克火炮口径大，意味着攻击力大。重型坦克火炮口径有88毫米、90毫米、100毫米、105毫米、120毫米、122毫米、128毫米、130毫米、150毫米甚至152毫米。同时，重型坦克车体装甲厚，抵御炮击的能力强，但是体重大导致机动性较慢。重型坦克外形庞大重量惊人，是战场上扭转战局的关键。重型装甲和强力火炮，使每一辆重型坦克都是一股不容忽视的力量。
7,0.8045867798152773,37,88毫米,口径,重型坦克火炮,9,20世纪60年代以前，坦克多按战斗全重和火炮口径分为轻、中、重型。通常重型坦克重42～80吨，火炮口径最大为130毫米，主要用于支援中型坦克战斗。其特点是火炮口径大，炮管长，攻击力大。因为坦克火炮口径大，意味着攻击力大。重型坦克火炮口径有88毫米、90毫米、100毫米、105毫米、120毫米、122毫米、128毫米、130毫米、150毫米甚至152毫米。同时，重型坦克车体装甲厚，抵御炮击的能力强，但是体重大导致机动性较慢。重型坦克外形庞大重量惊人，是战场上扭转战局的关键。重型装甲和强力火炮，使每一辆重型坦克都是一股不容忽视的力量。
8,0.81861275,38,M1型,型号,T-34坦克,11,T-34坦克[第二次世界大战中苏联著名坦克]：第二次世界大战后，苏军中T-34坦克直到20世纪50年代才被T-54/T-55中型坦克取代。波兰在1951～1956年间生产的M1型和M2型T-34/85坦克有如下改进：改进了发动机起动装置，乘员从5人减为4人，增加了弹药基数，装有较好的涉水设备，增大了行程，改进了电台和光学设备。
8,0.81861275,39,M2型T-34/85,型号,T-34坦克,11,T-34坦克[第二次世界大战中苏联著名坦克]：第二次世界大战后，苏军中T-34坦克直到20世纪50年代才被T-54/T-55中型坦克取代。波兰在1951～1956年间生产的M1型和M2型T-34/85坦克有如下改进：改进了发动机起动装置，乘员从5人减为4人，增加了弹药基数，装有较好的涉水设备，增大了行程，改进了电台和光学设备。
9,0.7791917,40,英国,产国,戴姆勒(Daimler)MK2,13,萨拉丁轮式侦察车：1946年1月，英国陆军提出了用新的装甲车取代第二次世界大战期间的戴姆勒(Daimler)MK2和辅助设备公司(AEC)的MK3装甲车的要求。代号为FV601(A)的新车研制工作于同年在战车设计所(Fighting Vehicles Design Department)即现在的皇家武器装备研究与发展院(Royal Armament Research and Development Establishment)展开。
33,1.0,41,英国,产国,萨,13,萨拉丁轮式侦察车：1946年1月，英国陆军提出了用新的装甲车取代第二次世界大战期间的戴姆勒(Daimler)MK2和辅助设备公司(AEC)的MK3装甲车的要求。代号为FV601(A)的新车研制工作于同年在战车设计所(Fighting Vehicles Design Department)即现在的皇家武器装备研究与发展院(Royal Armament Research and Development Establishment)展开。
9,0.7791917,42,辅助设备公司(AEC),研发单位与厂商,戴姆勒(Daimler)MK2,13,萨拉丁轮式侦察车：1946年1月，英国陆军提出了用新的装甲车取代第二次世界大战期间的戴姆勒(Daimler)MK2和辅助设备公司(AEC)的MK3装甲车的要求。代号为FV601(A)的新车研制工作于同年在战车设计所(Fighting Vehicles Design Department)即现在的皇家武器装备研究与发展院(Royal Armament Research and Development Establishment)展开。
34,1.0,43,FV601(A),型号,辅助设备公司(AEC),13,萨拉丁轮式侦察车：1946年1月，英国陆军提出了用新的装甲车取代第二次世界大战期间的戴姆勒(Daimler)MK2和辅助设备公司(AEC)的MK3装甲车的要求。代号为FV601(A)的新车研制工作于同年在战车设计所(Fighting Vehicles Design Department)即现在的皇家武器装备研究与发展院(Royal Armament Research and Development Establishment)展开。
10,0.7837259996232242,44,苏联,产国,轮式装甲人员输送车,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
10,0.8079971929559168,45,ЗИЛ-151,型号,轮式装甲人员输送车,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
11,0.81861275738812,46,ЗИЛ-151,型号,卡,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
10,0.8079971929559168,47,БТР-152(6×6),型号,轮式装甲人员输送车,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
11,0.81861275738812,48,БТР-152(6×6),型号,卡,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
10,0.8079971929559168,49,ЗИЛ-157,型号,轮式装甲人员输送车,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
11,0.81861275738812,50,ЗИЛ-157,型号,卡,14,1950年，苏联在ЗИЛ-151卡车底盘上改装成БТР-152(6×6)轮式装甲人员输送车，但后来生产的车辆又改用ЗИЛ-157卡车底盘。
12,0.7987996576317927,51,德军,研发单位与厂商,坦克,16,重装集结：二战德军坦克及变型车辆全集：Ⅱ号坦克b型　61
12,0.7953958828054508,52,b型,型号,坦克,16,重装集结：二战德军坦克及变型车辆全集：Ⅱ号坦克b型　61
12,0.7987948626592634,53,Ⅱ号,型号,坦克,16,重装集结：二战德军坦克及变型车辆全集：Ⅱ号坦克b型　61
12,0.8057744970860458,54,二战,投入使用时间,坦克,16,重装集结：二战德军坦克及变型车辆全集：Ⅱ号坦克b型　61
13,0.7791917,55,挑战者Ⅱ,型号,主战坦克,19,挑战者Ⅱ主战坦克：马力/重量：19.2匹/吨
13,0.7791917,56,19.2匹/吨,重量,主战坦克,19,挑战者Ⅱ主战坦克：马力/重量：19.2匹/吨
14,0.7791916751926983,57,德军,研发单位与厂商,Sd Kfz,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
15,0.7791916751926983,58,德军,研发单位与厂商,Ⅲ号突击炮,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
14,0.7915022267179217,59,142,型号,Sd Kfz,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
15,0.7915022267179217,60,142,型号,Ⅲ号突击炮,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
14,0.7915022267179217,61,B型,型号,Sd Kfz,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
15,0.7915022267179217,62,B型,型号,Ⅲ号突击炮,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
14,0.7791916751926983,63,二战,投入使用时间,Sd Kfz,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
15,0.7791916751926983,64,二战,投入使用时间,Ⅲ号突击炮,20,重装集结：二战德军坦克及变型车辆全集：Ⅲ号突击炮B型(Sd Kfz 142)　165
12,0.7791916751926983,65,德国,产国,坦克,21,重装集结：二战德军坦克及变型车辆全集：《重装集结：二战德军坦克及变型车辆全集》以历史图片为证，全景式地介绍了德国在第二次世界大战中研制、使用的全系列坦克及其变型车辆的发展历程，并对模型爱好者喜爱的几种车型进行了全方位展示。内容涵盖Ⅰ/Ⅱ/Ⅲ/Ⅳ号坦克，以及“黑豹”、“虎”、“虎王”、“鼠”式坦克及其变型车的全貌。
12,0.7953958828054508,66,Ⅰ/Ⅱ/Ⅲ/Ⅳ号,型号,坦克,21,重装集结：二战德军坦克及变型车辆全集：《重装集结：二战德军坦克及变型车辆全集》以历史图片为证，全景式地介绍了德国在第二次世界大战中研制、使用的全系列坦克及其变型车辆的发展历程，并对模型爱好者喜爱的几种车型进行了全方位展示。内容涵盖Ⅰ/Ⅱ/Ⅲ/Ⅳ号坦克，以及“黑豹”、“虎”、“虎王”、“鼠”式坦克及其变型车的全貌。
12,0.8057744970860458,67,二战,投入使用时间,坦克,21,重装集结：二战德军坦克及变型车辆全集：《重装集结：二战德军坦克及变型车辆全集》以历史图片为证，全景式地介绍了德国在第二次世界大战中研制、使用的全系列坦克及其变型车辆的发展历程，并对模型爱好者喜爱的几种车型进行了全方位展示。内容涵盖Ⅰ/Ⅱ/Ⅲ/Ⅳ号坦克，以及“黑豹”、“虎”、“虎王”、“鼠”式坦克及其变型车的全貌。
12,0.788764980683933,68,第二次世界大战,投入使用时间,坦克,21,重装集结：二战德军坦克及变型车辆全集：《重装集结：二战德军坦克及变型车辆全集》以历史图片为证，全景式地介绍了德国在第二次世界大战中研制、使用的全系列坦克及其变型车辆的发展历程，并对模型爱好者喜爱的几种车型进行了全方位展示。内容涵盖Ⅰ/Ⅱ/Ⅲ/Ⅳ号坦克，以及“黑豹”、“虎”、“虎王”、“鼠”式坦克及其变型车的全貌。
12,0.7987996576317927,69,德军,研发单位与厂商,坦克,23,重装集结：二战德军坦克及变型车辆全集：Ⅲ号坦克H型　117
12,0.7987948626592634,70,Ⅲ号,型号,坦克,23,重装集结：二战德军坦克及变型车辆全集：Ⅲ号坦克H型　117
12,0.7953958828054508,71,H型,型号,坦克,23,重装集结：二战德军坦克及变型车辆全集：Ⅲ号坦克H型　117
12,0.8057744970860458,72,二战,投入使用时间,坦克,23,重装集结：二战德军坦克及变型车辆全集：Ⅲ号坦克H型　117
12,0.7987996576317927,73,德军,研发单位与厂商,坦克,25,重装集结：二战德军坦克及变型车辆全集：I号坦克F型　36
12,0.7987948626592634,74,F型,型号,坦克,25,重装集结：二战德军坦克及变型车辆全集：I号坦克F型　36
12,0.7953958828054508,75,I号,型号,坦克,25,重装集结：二战德军坦克及变型车辆全集：I号坦克F型　36
12,0.8057744970860458,76,二战,投入使用时间,坦克,25,重装集结：二战德军坦克及变型车辆全集：I号坦克F型　36
16,0.81861275738812,77,105毫米,口径,T34重型坦克,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
17,0.81861275738812,78,105毫米,口径,T7,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
18,0.81861275738812,79,105毫米,口径,T5E1,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
16,0.81861275738812,80,120毫米,口径,T34重型坦克,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
17,0.81861275738812,81,120毫米,口径,T7,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
18,0.81861275738812,82,120毫米,口径,T5E1,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
16,0.81861275738812,83,155毫米,口径,T34重型坦克,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
17,0.81861275738812,84,155毫米,口径,T7,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
18,0.81861275738812,85,155毫米,口径,T5E1,26,1945年初为了进一步增强坦克火力，美军兵器局把120毫米高射炮改为坦克炮，即T53。兵器局要求它的穿甲能力必须强于105毫米T5E1或者155毫米T7坦克炮，在发射普通炮弹时炮口初速要达到966米/秒，发射高速穿甲弹时要达到1258米/秒。T34重型坦克为美国二战时期研制的重型试验坦克，T34外形和T29、T30类似，只不过由于炮管太长，在炮塔后部焊接了100毫米厚的钢板用于配平。
19,0.7791917,86,M30式,型号,迫击炮,28,M30式107mm迫击炮：最小射程
19,0.7791917,87,107mm,口径,迫击炮,28,M30式107mm迫击炮：最小射程
20,0.7791916751926983,88,英国,产国,装甲人员输送车,29,英国亨伯1T轮式装甲人员输送车，该车由英国GKN防务公司研制，系早期AT104装甲人员输送车的后继车型。AT104原是作为国内安全车而设计的，相比之下该车的用途更为广泛，可作为侦察车、通信指挥车、抢救车、救护车、步兵火力支援车。 该车与AT104的设计结构和外形特征基本相似，主要改进包括增强了车体的防护力；重新设计车底板，增强了车体底甲板对地雷的防护力；增大了发动机功率，缩短了轴距，以提高机动性和转向性能。
20,0.7979385636909558,89,亨伯1T轮式装甲人员输送车,型号,装甲人员输送车,29,英国亨伯1T轮式装甲人员输送车，该车由英国GKN防务公司研制，系早期AT104装甲人员输送车的后继车型。AT104原是作为国内安全车而设计的，相比之下该车的用途更为广泛，可作为侦察车、通信指挥车、抢救车、救护车、步兵火力支援车。 该车与AT104的设计结构和外形特征基本相似，主要改进包括增强了车体的防护力；重新设计车底板，增强了车体底甲板对地雷的防护力；增大了发动机功率，缩短了轴距，以提高机动性和转向性能。
