index,subject,predicate,object,label
40,T-34坦克,型号,M1型,主战坦克
41,T-34坦克,型号,T-54/T-55中型,主战坦克
42,T-34坦克,型号,T-34/85,主战坦克
43,萨拉丁轮式侦察车,产国,英国,装甲侦察车
44,MK3,研发单位与厂商,皇家,装甲侦察车
45,萨拉丁轮式侦察车,研发单位与厂商,皇家,装甲侦察车
46,MK3,研发单位与厂商,戴姆勒(Daimler)MK2,装甲侦察车
47,萨拉丁轮式侦察车,研发单位与厂商,戴姆勒(Daimler)MK2,装甲侦察车
48,萨拉丁轮式侦察车,研发时间,1946,装甲侦察车
49,轮式装甲人员输送车,型号,ЗИЛ-,其他特种装甲车辆
50,卡车,型号,ЗИЛ-,其他特种装甲车辆
51,轮式装甲人员输送车,型号,БТР-152(6×6),其他特种装甲车辆
52,卡车,型号,БТР-152(6×6),其他特种装甲车辆
53,轮式装甲人员输送车,型号,ЗИЛ-151,其他特种装甲车辆
54,卡车,型号,ЗИЛ-151,其他特种装甲车辆
55,坦克,研发单位与厂商,德军,主战坦克
56,坦克,型号,Ⅱ号,主战坦克
57,坦克,型号,b型,主战坦克
58,坦克,投入使用时间,二战,主战坦克
59,RBYMK1轻型装甲侦察车,研发单位与厂商,克莱斯勒(Chrysler),装甲侦察车
60,瓦尔凯轮式装甲人员输送车,型号,　4-53T　4,装甲运兵车
61,瓦尔凯轮式装甲人员输送车,型号,53T　4-53T,装甲运兵车
62,IFCS坦克火控系统,产国,英国,弹炮结合系统
63,主战坦克,型号,挑战者Ⅱ,主战坦克
64,主战坦克,重量,19.2匹,主战坦克
65,撒拉逊轮式输送车,型号,FV603,装甲运兵车
66,撒拉逊轮式输送车,型号,　FV603(C),装甲运兵车
67,Sd Kfz,型号,B型,迫击炮
68,Ⅲ号突击炮,型号,B型,迫击炮
69,Sd Kfz,型号,142,迫击炮
70,Ⅲ号突击炮,型号,142,迫击炮
71,Sd Kfz,研发单位与厂商,德军,迫击炮
72,Ⅲ号突击炮,研发单位与厂商,德军,迫击炮
73,Ⅲ号突击炮,研发时间,二战,迫击炮
74,Sd Kfz,投入使用时间,二战,迫击炮
75,Ⅲ号突击炮,投入使用时间,二战,迫击炮
76,T-34中型,产国,苏联,主战坦克
77,IFCS坦克火控系统,产国,英国,弹炮结合系统
78,TM80中型坦克,宽度,3.30m,主战坦克
79,坦克,产国,德国,主战坦克
80,坦克,研发单位与厂商,德国,主战坦克
81,坦克,研发单位与厂商,德,主战坦克
82,坦克,型号,Ⅰ/Ⅱ/Ⅲ,主战坦克
83,坦克,投入使用时间,第二次世界,主战坦克
84,坦克,投入使用时间,二战,主战坦克
85,VTP-1猎鲸轮式多用途装甲车,宽度,　2.500m,其他特种装甲车辆
86,轮式装甲人员输送车,产国,苏联,装甲侦察车
87,轮式装甲人员输送车,型号,ГАЗ-63,装甲侦察车
88,卡,型号,ГАЗ-63,装甲侦察车
89,轮式装甲人员输送车,型号,БРДМ-1(4×4),装甲侦察车
90,卡,型号,БРДМ-1(4×4),装甲侦察车
91,轮式装甲人员输送车,型号,БТР-40(4×4),装甲侦察车
92,卡,型号,БТР-40(4×4),装甲侦察车
93,轮式装甲人员输送车,研发时间,1947年,装甲侦察车
94,坦克,研发单位与厂商,德军,主战坦克
95,坦克,型号,Ⅲ号,主战坦克
96,坦克,型号,H型,主战坦克
97,坦克,投入使用时间,二战,主战坦克
98,坦克,研发单位与厂商,德军,主战坦克
99,坦克,型号,F型,主战坦克
100,坦克,型号,I号,主战坦克
101,坦克,投入使用时间,二战,主战坦克
102,T34重型坦克,产国,美国,坦克炮
103,T5E1,口径,966米/秒,坦克炮
104,T7,口径,966米/秒,坦克炮
105,T5E1,口径,155毫米,坦克炮
106,T7,口径,155毫米,坦克炮
107,T5E1,口径,120,坦克炮
108,T7,口径,120,坦克炮
109,T5E1,口径,105毫米,坦克炮
110,T7,口径,105毫米,坦克炮
111,迫击炮,型号,M30式,迫击炮
112,迫击炮,口径,107mm,迫击炮
113,亨伯1T轮式装甲人员输送车,产国,英国,其他
114,轮式装甲人员输送车,产国,英国,其他
115,装甲人员输送车,产国,英国,其他
116,轮式装甲人员输送车,型号,亨伯1T轮式装甲人员输送车,其他
117,装甲人员输送车,型号,亨伯1T轮式装甲人员输送车,其他
118,轮式装甲人员输送车,型号,AT104,其他
119,装甲人员输送车,型号,AT104,其他
120,大黄蜂轮式侦察车,产国,英国,装甲侦察车
121,大黄蜂轮式侦察车,研发单位与厂商,格罗费·韦布有限公司,装甲侦察车
122,大黄蜂轮式侦察车,研发单位与厂商,兰德·罗孚(Land Rover)公,装甲侦察车
123,PTL02轮式坦克歼击车,产国,中国北方工业总公司,坦克炮
124,PTL02轮式坦克歼击车,研发单位与厂商,中国北方工业总公司,坦克炮
125,PTL02轮式坦克歼击车,研发单位与厂商,北方工业总公司,坦克炮
126,PTL02轮式坦克歼击车,研发单位与厂商,中,坦克炮
127,坦克歼击车,型号,PTL02,坦克炮
128,线膛炮,口径,105,坦克炮
129,PTL02轮式坦克歼击车,口径,105,坦克炮
130,线膛炮,口径,105毫米,坦克炮
131,PTL02轮式坦克歼击车,口径,105毫米,坦克炮
132,163型轮式多用途装甲人员输送车,研发单位与厂商,克莱斯勒(Chrysler),装甲运兵车
133,指挥坦克,研发单位与厂商,德军,主战坦克
134,Ⅲ号,型号,Ⅲ号,主战坦克
135,指挥坦克,型号,Ⅲ号,主战坦克
136,Ⅲ号,型号,H型,主战坦克
137,指挥坦克,型号,H型,主战坦克
138,Ⅲ号,投入使用时间,二战,主战坦克
139,指挥坦克,投入使用时间,二战,主战坦克
140,L-30A1,口径,120毫米,主战坦克
141,挑战者-2E,口径,120毫米,主战坦克
142,海尔法反坦克导弹,制导系统,射频/红外导,反弹道导弹
143,海尔法反坦克导弹,制导系统,激光制,反弹道导弹
144,装甲水陆侦察车,产国,苏,装甲运兵车
145,轮式装甲人员输送车,产国,苏,装甲运兵车
146,装甲人员输送车,产国,苏,装甲运兵车
147,装甲水陆侦察车,产国,匈牙利,装甲运兵车
148,轮式装甲人员输送车,产国,匈牙利,装甲运兵车
149,装甲人员输送车,产国,匈牙利,装甲运兵车
150,装甲水陆侦察车,型号,FUG,装甲运兵车
151,轮式装甲人员输送车,型号,FUG,装甲运兵车
152,装甲人员输送车,型号,FUG,装甲运兵车
153,装甲水陆侦察车,型号,PSZH-4,装甲运兵车
154,轮式装甲人员输送车,型号,PSZH-4,装甲运兵车
155,装甲人员输送车,型号,PSZH-4,装甲运兵车
156,Ⅲ号指挥坦克,研发单位与厂商,德军,装甲指挥车
157,指挥坦克,研发单位与厂商,德军,装甲指挥车
158,Ⅲ号指挥坦克,型号,Ⅲ号指挥坦克,装甲指挥车
159,指挥坦克,型号,Ⅲ号指挥坦克,装甲指挥车
160,Ⅲ号指挥坦克,型号,K型,装甲指挥车
161,指挥坦克,型号,K型,装甲指挥车
162,Ⅲ号指挥坦克,投入使用时间,二战,装甲指挥车
163,指挥坦克,投入使用时间,二战,装甲指挥车
164,萨拉丁轮式侦察车,产国,英国,装甲侦察车
165,VK3001中型坦克,产国,德国,主战坦克
166,布伦机枪运载车,产国,英,步兵战车
167,布伦机枪运载车,投入使用时间,1936年,步兵战车
168,P-1000超级坦克,产国,德国,主战坦克
169,P-1000超级坦克,研发时间,1942年,主战坦克
170,地狱火”),产国,美国,反坦克炮
171,AGM-114A／B／K／D,产国,美国,反坦克炮
172,地狱火”),研发时间,70年代,反坦克炮
173,地狱火”),投入使用时间,80年代,反坦克炮
174,装甲抢救车,产国,德国,救护车
175,装甲抢救车,型号,BPz3,救护车
176,装甲抢救车,型号,“水牛”BPz3,救护车
177,轮式装甲人员输送车,产国,意大利,装甲运兵车
178,Ⅲ号指挥坦克,研发单位与厂商,德军,装甲指挥车
179,Ⅲ号指挥坦克,型号,E型,装甲指挥车
180,Ⅲ号指挥坦克,投入使用时间,二战,装甲指挥车
181,I号底盘假想敌演习坦克,研发单位与厂商,德军,坦克炮
182,I号底盘假想敌演习坦克,投入使用时间,二战,坦克炮
183,指挥车,型号,FV610,装甲指挥车
184,坦克,研发单位与厂商,德军,主战坦克
185,坦克,型号,BCD型,主战坦克
186,坦克,型号,Ⅲ号,主战坦克
187,坦克,投入使用时间,二战,主战坦克
188,海尔法反坦克导弹,制导系统,半主动激光,反弹道导弹
189,海尔法反坦克导弹,制导系统,毫米波雷达,反弹道导弹
190,蝎式轻型(侦察)坦克,产国,英国,装甲侦察车
191,蝎式轻型(侦察)坦克,投入使用时间,1965年6月,装甲侦察车
192,打击者(Striler)车,投入使用时间,1965年6月,装甲侦察车
193,坦克,研发单位与厂商,德军,主战坦克
194,坦克,型号,Ⅱ号,主战坦克
195,坦克,型号,F型,主战坦克
196,坦克,投入使用时间,二战,主战坦克
197,撒拉逊轮式输送车,型号,FV603,装甲运兵车
198,线膛坦克炮,产国,英国,主战坦克
199,全电式火炮控制和稳定系统,研发单位与厂商,BAE系统公司,主战坦克
200,全电式火炮控制和稳定系统,研发单位与厂商,维克斯公司,主战坦克
201,主战坦克,型号,挑战者2坦克,主战坦克
202,主战坦克,型号,FV4034,主战坦克
203,主战坦克,型号,L30型,主战坦克
204,线膛坦克炮,口径,120毫米,主战坦克
